,Unnamed: 0,💵 Cost,Cost2
1156,1156,Way too expensive,"$6,886"
1157,1157,Way too expensive,"$5,228"
1158,1158,Pricey,"$3,222"
1159,1159,Way too expensive,"$6,122"
1160,1160,Affordable,"$1,265"
1161,1161,Way too expensive,"$5,291"
1162,1162,Too expensive,"$4,434"
1163,1163,Way too expensive,"$6,764"
1164,1164,Way too expensive,"$6,603"
1165,1165,Affordable,"$1,586"
1166,1166,Affordable,"$1,659"
1167,1167,Way too expensive,"$6,233"
1168,1168,Affordable,"$1,190"
1169,1169,Too expensive,"$4,551"
1170,1170,Affordable,"$2,375"
1171,1171,Too expensive,"$4,795"
1172,1172,Way too expensive,"$5,146"
1173,1173,Cheap,$993
1174,1174,Way too expensive,"$5,141"
1175,1175,Okay,"$2,511"
1176,1176,Pricey,"$3,818"
1177,1177,Way too expensive,"$5,747"
1178,1178,Affordable,"$1,570"
1179,1179,Way too expensive,"$5,377"
1180,1180,Too expensive,"$4,549"
1181,1181,Way too expensive,"$6,008"
1182,1182,Cheap,$875
1183,1183,Too expensive,"$4,729"
1184,1184,Too expensive,"$4,459"
1185,1185,Cheap,$630
1186,1186,Way too expensive,"$5,651"
1187,1187,Way too expensive,"$6,692"
1188,1188,Too expensive,"$4,705"
1189,1189,Okay,"$2,566"
1190,1190,Way too expensive,"$5,355"
1191,1191,Affordable,"$2,431"
1192,1192,Way too expensive,"$5,063"
1193,1193,Way too expensive,"$6,919"
1194,1194,Way too expensive,"$5,106"
1195,1195,Way too expensive,"$5,018"
1196,1196,Affordable,"$1,435"
1197,1197,Way too expensive,"$5,329"
1198,1198,Way too expensive,"$6,394"
1199,1199,Affordable,"$1,054"
1200,1200,Pricey,"$3,942"
1201,1201,Way too expensive,"$5,042"
1202,1202,Cheap,$911
1203,1203,Pricey,"$3,668"
1204,1204,Affordable,"$1,564"
1205,1205,Affordable,"$1,124"
1206,1206,Affordable,"$1,078"
1207,1207,Way too expensive,"$7,670"
1208,1208,Too expensive,"$4,974"
1209,1209,Affordable,"$1,109"
1210,1210,Pricey,"$3,763"
1211,1211,Affordable,"$1,218"
1212,1212,Affordable,"$1,040"
1213,1213,Pricey,"$3,972"
1214,1214,Affordable,"$2,465"
1215,1215,Cheap,$700
1216,1216,Way too expensive,"$5,196"
1217,1217,Way too expensive,"$5,010"
1218,1218,Affordable,"$2,270"
1219,1219,Way too expensive,"$13,762"
1220,1220,Way too expensive,"$13,762"
1221,1221,Affordable,"$2,177"
1222,1222,Affordable,"$2,374"
1223,1223,Way too expensive,"$6,588"
1224,1224,Way too expensive,"$5,256"
1225,1225,Way too expensive,"$5,256"
1226,1226,Pricey,"$3,143"
1227,1227,Affordable,"$2,491"
1228,1228,Pricey,"$3,994"
1229,1229,Way too expensive,"$5,039"
1230,1230,Way too expensive,"$7,885"
1231,1231,Too expensive,"$4,504"
1232,1232,Affordable,"$1,397"
1233,1233,Affordable,"$2,121"
1234,1234,Too expensive,"$4,084"
1235,1235,Way too expensive,"$5,209"
1236,1236,Cheap,$682
1237,1237,Affordable,"$1,962"
1238,1238,Cheap,$863
1239,1239,Way too expensive,"$5,906"
1240,1240,Way too expensive,"$5,048"
1241,1241,Way too expensive,"$7,313"
1242,1242,Affordable,"$2,426"
1243,1243,Way too expensive,"$6,329"
1244,1244,Okay,"$2,765"
1245,1245,Way too expensive,"$8,530"
1246,1246,Affordable,"$1,267"
1247,1247,Affordable,"$2,452"
1248,1248,Pricey,"$3,374"
1249,1249,Affordable,"$1,653"
1250,1250,Pricey,"$3,870"
1251,1251,Affordable,"$1,336"
1252,1252,Affordable,"$1,785"
1253,1253,Way too expensive,"$5,606"
1254,1254,Pricey,"$3,954"
1255,1255,Cheap,$610
1256,1256,Too expensive,"$4,357"
1257,1257,Too expensive,"$4,976"
1258,1258,Cheap,$728
1259,1259,Okay,"$2,892"
1260,1260,Okay,"$2,566"
1261,1261,Affordable,"$1,885"
1262,1262,Cheap,$964
1263,1263,Affordable,"$1,300"
1264,1264,Too expensive,"$4,707"
1265,1265,Affordable,"$1,044"
1266,1266,Cheap,$602
1267,1267,Way too expensive,"$6,482"
1268,1268,Too expensive,"$4,937"
1269,1269,Affordable,"$1,128"
1270,1270,Affordable,"$1,383"
1271,1271,Affordable,"$1,265"
1272,1272,Affordable,"$1,328"
1273,1273,Affordable,"$1,104"
1274,1274,Way too expensive,"$10,542"
1275,1275,Cheap,$897
1276,1276,Okay,"$2,763"
1277,1277,Way too expensive,"$5,286"
1278,1278,Okay,"$2,531"
1279,1279,Cheap,$677
1280,1280,Cheap,$870
1281,1281,Pricey,"$3,291"
1282,1282,Affordable,"$1,408"
1283,1283,Affordable,"$1,031"
1284,1284,Affordable,"$1,356"
1285,1285,Too expensive,"$4,405"
1286,1286,Too expensive,"$4,659"
1287,1287,Affordable,"$2,174"
1288,1288,Affordable,"$1,900"
1289,1289,Affordable,"$1,259"
1290,1290,Pricey,"$3,463"
1291,1291,Too expensive,"$4,423"
1292,1292,Affordable,"$1,785"
1293,1293,Way too expensive,"$5,510"
1294,1294,Pricey,"$3,947"
1295,1295,Affordable,"$1,729"
1296,1296,Way too expensive,"$5,350"
1297,1297,Okay,"$2,501"
1298,1298,Cheap,$320
1299,1299,Pricey,"$3,435"
1300,1300,Way too expensive,"$5,264"
1301,1301,Okay,"$2,808"
1302,1302,Okay,"$2,954"
1303,1303,Pricey,"$3,141"
1304,1304,Affordable,"$2,274"
1305,1305,Affordable,"$2,302"
1306,1306,Too expensive,"$4,409"
1307,1307,Okay,"$2,853"
1308,1308,Okay,"$2,604"
1309,1309,Too expensive,"$4,880"
1310,1310,Way too expensive,"$5,420"
1311,1311,Way too expensive,"$8,156"
1312,1312,Way too expensive,"$5,133"
1313,1313,Affordable,"$1,461"
1314,1314,Affordable,"$2,431"
1315,1315,Affordable,"$1,268"
1316,1316,Cheap,$934
1317,1317,Affordable,"$1,321"
1318,1318,Cheap,$861
1319,1319,Affordable,"$2,021"
1320,1320,Affordable,"$1,153"
1321,1321,Cheap,$928
1322,1322,Affordable,"$1,450"
1323,1323,Affordable,"$1,992"
1324,1324,Affordable,"$1,243"
1325,1325,Affordable,"$1,263"
1326,1326,Affordable,"$1,686"
1327,1327,Affordable,"$1,450"
1328,1328,Affordable,"$1,179"
1329,1329,Affordable,"$1,450"
1330,1330,Affordable,"$1,827"
1331,1331,Affordable,"$2,352"
1332,1332,Affordable,"$1,772"
1333,1333,Affordable,"$1,169"
1334,1334,Affordable,"$1,075"
1335,1335,Affordable,"$1,783"
1336,1336,Affordable,"$1,573"
1337,1337,Affordable,"$1,906"
1338,1338,Affordable,"$2,274"
1339,1339,Okay,"$2,733"
1340,1340,Pricey,"$3,101"
