,index,Month,Feel,Real,Humidity,Rain,Cloud,Air_quality,City
0,0,jan,cool,cool,damp,rainy,cloudy,clean,ericeira
1,1,feb,cool,cool,damp,rainy,cloudy,clean,ericeira
2,2,mar,cool,cool,damp,dry,pockets,clean,ericeira
3,3,apr,cool,cool,damp,rainy,cloudy,clean,ericeira
4,4,may,cool,cool,nice,dry,cloudy,clean,ericeira
5,5,jun,cool,cool,nice,dry,pockets,clean,ericeira
6,6,jul,mild,mild,nice,dry,pockets,clean,ericeira
7,7,aug,mild,mild,nice,dry,pockets,clean,ericeira
8,8,sep,mild,mild,nice,dry,pockets,clean,ericeira
9,9,oct,mild,mild,nice,rainy,cloudy,clean,ericeira
10,10,nov,cool,cool,damp,dry,pockets,clean,ericeira
11,11,dec,cool,cool,damp,rainy,cloudy,clean,ericeira
12,0,jan,cool,cool,damp,dry,cloudy,clean,lisbon
13,1,feb,cool,cool,damp,rainy,cloudy,clean,lisbon
14,2,mar,cool,cool,nice,dry,pockets,clean,lisbon
15,3,apr,mild,mild,nice,rainy,cloudy,clean,lisbon
16,4,may,mild,mild,nice,dry,pockets,clean,lisbon
17,5,jun,mild,mild,nice,dry,pockets,clean,lisbon
18,6,jul,warm,warm,nice,dry,pockets,clean,lisbon
19,7,aug,warm,warm,nice,dry,pockets,clean,lisbon
20,8,sep,warm,warm,nice,dry,pockets,clean,lisbon
21,9,oct,mild,mild,nice,dry,cloudy,clean,lisbon
22,10,nov,cool,cool,nice,dry,pockets,clean,lisbon
23,11,dec,cool,cool,damp,rainy,cloudy,clean,lisbon
24,0,jan,mild,mild,nice,dry,pockets,clean,miami
25,1,feb,warm,warm,nice,rainy,pockets,clean,miami
26,2,mar,warm,warm,nice,dry,pockets,clean,miami
27,3,apr,warm,warm,sweaty,rainy,pockets,clean,miami
28,4,may,warm,warm,sweaty,rainy,pockets,clean,miami
29,5,jun,hot,very warm,sweaty,rainy,cloudy,clean,miami
30,6,jul,hot,very warm,sweaty,rainy,pockets,clean,miami
31,7,aug,hot,very warm,sweaty,rainy,pockets,okay,miami
32,8,sep,hot,very warm,sweaty,rainy,cloudy,clean,miami
33,9,oct,hot,very warm,sweaty,rainy,pockets,clean,miami
34,10,nov,warm,warm,nice,rainy,cloudy,clean,miami
35,11,dec,warm,warm,nice,dry,pockets,clean,miami
36,0,jan,mild,mild,nice,dry,pockets,seek shade,gran-canaria
37,1,feb,mild,mild,nice,dry,pockets,avoid sun,gran-canaria
38,2,mar,mild,mild,nice,dry,pockets,avoid sun,gran-canaria
