,index,Month,Feel,Real,Humidity,Rain,Cloud,Air_quality,City
39,3,apr,mild,mild,nice,dry,pockets,avoid sun,gran-canaria
40,4,may,mild,mild,nice,dry,pockets,avoid sun,gran-canaria
41,5,jun,mild,mild,nice,dry,pockets,avoid sun,gran-canaria
42,6,jul,mild,mild,nice,dry,cloudy,avoid sun,gran-canaria
43,7,aug,warm,warm,nice,dry,pockets,avoid sun,gran-canaria
44,8,sep,warm,warm,nice,dry,pockets,avoid sun,gran-canaria
45,9,oct,warm,warm,nice,dry,cloudy,avoid sun,gran-canaria
46,10,nov,mild,mild,nice,dry,cloudy,seek shade,gran-canaria
47,11,dec,mild,mild,nice,dry,pockets,seek shade,gran-canaria
48,0,jan,cold,very cold,damp,dry,cloudy,okay,budapest
49,1,feb,cold,very cold,damp,dry,cloudy,okay,budapest
50,2,mar,cold,cold,nice,dry,cloudy,okay,budapest
51,3,apr,cool,cool,nice,dry,cloudy,okay,budapest
52,4,may,cool,cool,nice,rainy,cloudy,okay,budapest
53,5,jun,warm,warm,nice,dry,pockets,clean,budapest
54,6,jul,hot,very warm,nice,dry,pockets,clean,budapest
55,7,aug,warm,warm,nice,dry,cloudy,clean,budapest
56,8,sep,mild,mild,nice,dry,pockets,clean,budapest
57,9,oct,cool,cool,nice,dry,pockets,clean,budapest
58,10,nov,cold,cold,damp,dry,cloudy,okay,budapest
59,11,dec,cold,very cold,damp,rainy,overcast,okay,budapest
60,0,jan,cool,cool,damp,rainy,pockets,clean,austin
61,1,feb,cool,cool,damp,dry,cloudy,clean,austin
62,2,mar,mild,mild,nice,dry,pockets,clean,austin
63,3,apr,warm,warm,nice,dry,cloudy,clean,austin
64,4,may,warm,warm,nice,rainy,cloudy,clean,austin
65,5,jun,scorching,hot,sweaty,rainy,cloudy,clean,austin
66,6,jul,scorching,hot,sweaty,rainy,pockets,clean,austin
67,7,aug,scorching,hot,sweaty,rainy,pockets,clean,austin
68,8,sep,hot,hot,nice,dry,pockets,clean,austin
69,9,oct,hot,very warm,sweaty,rainy,pockets,clean,austin
70,10,nov,mild,mild,nice,rainy,pockets,clean,austin
71,11,dec,mild,mild,nice,dry,cloudy,clean,austin
72,0,jan,cool,cool,damp,rainy,cloudy,clean,porto
73,1,feb,cool,cool,damp,rainy,cloudy,clean,porto
74,2,mar,cool,cool,nice,dry,pockets,clean,porto
75,3,apr,cool,cool,damp,rainy,cloudy,clean,porto
76,4,may,cool,cool,damp,rainy,cloudy,clean,porto
77,5,jun,mild,mild,nice,dry,pockets,clean,porto
78,6,jul,mild,mild,nice,dry,pockets,clean,porto
79,7,aug,mild,mild,nice,dry,pockets,clean,porto
80,8,sep,mild,mild,nice,rainy,cloudy,clean,porto
81,9,oct,mild,mild,nice,rainy,cloudy,clean,porto
82,10,nov,cool,cool,nice,dry,pockets,clean,porto
83,11,dec,cool,cool,damp,rainy,cloudy,clean,porto
84,0,jan,warm,warm,nice,rainy,pockets,clean,buenos-aires
85,1,feb,warm,warm,nice,rainy,pockets,clean,buenos-aires
86,2,mar,warm,warm,nice,rainy,pockets,clean,buenos-aires
87,3,apr,mild,mild,nice,rainy,pockets,clean,buenos-aires
88,4,may,cool,cool,nice,rainy,cloudy,clean,buenos-aires
89,5,jun,cool,cool,damp,dry,cloudy,clean,buenos-aires
90,6,jul,cool,cool,damp,dry,pockets,clean,buenos-aires
91,7,aug,cool,cool,damp,dry,pockets,clean,buenos-aires
92,8,sep,cool,cool,damp,rainy,cloudy,clean,buenos-aires
93,9,oct,mild,mild,nice,dry,pockets,clean,buenos-aires
94,10,nov,mild,mild,nice,rainy,pockets,clean,buenos-aires
95,11,dec,warm,warm,nice,dry,pockets,clean,buenos-aires
96,0,jan,cold,cold,nice,dry,cloudy,okay,tbilisi
97,1,feb,cool,cool,nice,dry,cloudy,bad,tbilisi
98,2,mar,cold,cold,nice,dry,cloudy,bad,tbilisi
99,3,apr,mild,mild,nice,rainy,cloudy,bad,tbilisi
100,4,may,warm,warm,nice,dry,pockets,bad,tbilisi
101,5,jun,hot,very warm,nice,rainy,pockets,bad,tbilisi
102,6,jul,hot,very warm,nice,rainy,pockets,bad,tbilisi
103,7,aug,hot,hot,nice,dry,pockets,bad,tbilisi
104,8,sep,warm,warm,nice,rainy,cloudy,bad,tbilisi
105,9,oct,cool,cool,nice,rainy,cloudy,bad,tbilisi
106,10,nov,cool,cool,nice,dry,cloudy,bad,tbilisi
107,11,dec,cold,cold,nice,dry,cloudy,bad,tbilisi
108,0,jan,hot,very warm,nice,dry,pockets,bad,chiang-mai
109,1,feb,hot,hot,nice,dry,pockets,bad,chiang-mai
110,2,mar,hot,hot,nice,dry,pockets,bad,chiang-mai
111,3,apr,scorching,hot,nice,rainy,cloudy,bad,chiang-mai
112,4,may,scorching,hot,nice,rainy,cloudy,bad,chiang-mai
113,5,jun,scorching,hot,sweaty,rainy,cloudy,clean,chiang-mai
114,6,jul,hot,very warm,sweaty,rainy,cloudy,clean,chiang-mai
115,7,aug,scorching,hot,sweaty,rainy,cloudy,clean,chiang-mai
116,8,sep,hot,hot,sweaty,rainy,cloudy,okay,chiang-mai
117,9,oct,hot,very warm,sweaty,rainy,cloudy,okay,chiang-mai
118,10,nov,hot,very warm,sweaty,rainy,cloudy,okay,chiang-mai
119,11,dec,hot,very warm,sweaty,dry,pockets,bad,chiang-mai
120,0,jan,cold,very cold,damp,rainy,cloudy,bad,sofia
121,1,feb,cold,cold,damp,dry,pockets,bad,sofia
122,2,mar,cool,cool,nice,rainy,cloudy,okay,sofia
123,3,apr,cool,cool,nice,rainy,cloudy,okay,sofia
124,4,may,mild,mild,nice,rainy,cloudy,okay,sofia
125,5,jun,warm,warm,nice,rainy,cloudy,okay,sofia
126,6,jul,hot,very warm,nice,dry,pockets,okay,sofia
127,7,aug,hot,very warm,nice,dry,pockets,okay,sofia
128,8,sep,warm,warm,nice,rainy,pockets,okay,sofia
129,9,oct,cool,cool,damp,rainy,cloudy,bad,sofia
130,10,nov,cool,cool,damp,dry,cloudy,okay,sofia
131,11,dec,cold,very cold,damp,rainy,cloudy,okay,sofia
132,0,jan,freezing,freezing,damp,rainy,overcast,okay,warsaw
133,1,feb,freezing,freezing,damp,dry,cloudy,bad,warsaw
134,2,mar,cold,cold,damp,dry,cloudy,okay,warsaw
135,3,apr,cold,cold,nice,rainy,cloudy,okay,warsaw
136,4,may,cool,cool,damp,rainy,cloudy,okay,warsaw
137,5,jun,mild,mild,nice,dry,cloudy,clean,warsaw
138,6,jul,warm,warm,nice,rainy,cloudy,okay,warsaw
139,7,aug,mild,mild,nice,rainy,cloudy,okay,warsaw
140,8,sep,cool,cool,damp,dry,cloudy,okay,warsaw
141,9,oct,cool,cool,nice,dry,cloudy,okay,warsaw
142,10,nov,cold,cold,damp,dry,cloudy,okay,warsaw
143,11,dec,freezing,freezing,damp,dry,cloudy,okay,warsaw
144,0,jan,hot,hot,nice,dry,pockets,bad,bangkok
145,1,feb,hot,hot,nice,dry,pockets,okay,bangkok
146,2,mar,scorching,hot,sweaty,dry,pockets,okay,bangkok
147,3,apr,scorching,hot,sweaty,rainy,cloudy,okay,bangkok
148,4,may,scorching,hot,nice,rainy,cloudy,okay,bangkok
149,5,jun,scorching,hot,nice,rainy,overcast,okay,bangkok
150,6,jul,scorching,hot,sweaty,rainy,overcast,okay,bangkok
151,7,aug,scorching,hot,sweaty,rainy,overcast,clean,bangkok
152,8,sep,scorching,hot,sweaty,rainy,overcast,okay,bangkok
153,9,oct,scorching,hot,sweaty,rainy,overcast,okay,bangkok
154,10,nov,hot,hot,sweaty,rainy,cloudy,okay,bangkok
155,11,dec,hot,hot,nice,dry,pockets,bad,bangkok
156,0,jan,cold,very cold,damp,rainy,cloudy,safe,belgrade
157,1,feb,cool,cool,damp,dry,cloudy,safe,belgrade
158,2,mar,cold,cold,nice,dry,cloudy,seek shade,belgrade
159,3,apr,cool,cool,nice,dry,cloudy,seek shade,belgrade
160,4,may,mild,mild,nice,rainy,cloudy,seek shade,belgrade
161,5,jun,warm,warm,nice,dry,pockets,avoid sun,belgrade
162,6,jul,hot,hot,nice,rainy,pockets,avoid sun,belgrade
163,7,aug,warm,very warm,nice,dry,pockets,avoid sun,belgrade
164,8,sep,warm,warm,nice,rainy,pockets,seek shade,belgrade
165,9,oct,cool,cool,nice,rainy,pockets,seek shade,belgrade
166,10,nov,cool,cool,damp,rainy,cloudy,safe,belgrade
167,11,dec,cold,very cold,damp,rainy,cloudy,safe,belgrade
168,0,jan,cool,cool,nice,rainy,cloudy,okay,istanbul
169,1,feb,cold,cool,damp,rainy,cloudy,okay,istanbul
170,2,mar,cold,cold,nice,rainy,cloudy,okay,istanbul
171,3,apr,cool,cool,nice,rainy,cloudy,okay,istanbul
172,4,may,mild,mild,nice,dry,cloudy,okay,istanbul
173,5,jun,warm,warm,nice,rainy,pockets,bad,istanbul
174,6,jul,hot,very warm,sweaty,dry,pockets,bad,istanbul
175,7,aug,hot,very warm,nice,dry,pockets,clean,istanbul
176,8,sep,warm,warm,nice,dry,pockets,bad,istanbul
177,9,oct,mild,mild,nice,dry,pockets,bad,istanbul
178,10,nov,cool,cool,damp,rainy,cloudy,okay,istanbul
179,11,dec,cool,cool,nice,rainy,cloudy,okay,istanbul
180,0,jan,hot,very warm,sweaty,rainy,cloudy,clean,phuket
181,1,feb,hot,very warm,sweaty,dry,pockets,okay,phuket
182,2,mar,hot,hot,sweaty,rainy,cloudy,okay,phuket
183,3,apr,hot,very warm,sweaty,rainy,overcast,okay,phuket
184,4,may,scorching,hot,sweaty,rainy,overcast,okay,phuket
185,5,jun,hot,very warm,sweaty,rainy,cloudy,clean,phuket
186,6,jul,hot,very warm,sweaty,rainy,overcast,clean,phuket
187,7,aug,hot,very warm,sweaty,rainy,overcast,clean,phuket
188,8,sep,hot,very warm,sweaty,rainy,overcast,clean,phuket
189,9,oct,hot,very warm,sweaty,rainy,overcast,clean,phuket
190,10,nov,hot,very warm,sweaty,rainy,overcast,clean,phuket
191,11,dec,hot,very warm,sweaty,rainy,cloudy,okay,phuket
192,0,jan,cool,cool,nice,rainy,cloudy,seek shade,madeira
193,1,feb,cool,cool,nice,rainy,cloudy,seek shade,madeira
194,2,mar,cool,cool,nice,rainy,cloudy,avoid sun,madeira
195,3,apr,mild,mild,nice,dry,cloudy,avoid sun,madeira
196,4,may,mild,mild,nice,dry,pockets,avoid sun,madeira
197,5,jun,mild,mild,nice,dry,pockets,avoid sun,madeira
198,6,jul,mild,mild,nice,dry,pockets,avoid sun,madeira
199,7,aug,warm,warm,nice,dry,pockets,avoid sun,madeira
200,8,sep,warm,warm,nice,dry,pockets,avoid sun,madeira
201,9,oct,mild,mild,nice,dry,pockets,seek shade,madeira
202,10,nov,mild,mild,nice,dry,pockets,seek shade,madeira
203,11,dec,mild,mild,nice,rainy,cloudy,seek shade,madeira
204,0,jan,hot,very warm,sweaty,dry,cloudy,avoid sun,ko-pha-ngan
205,1,feb,hot,very warm,sweaty,dry,pockets,avoid sun,ko-pha-ngan
206,2,mar,hot,very warm,sweaty,dry,pockets,avoid sun,ko-pha-ngan
207,3,apr,hot,very warm,sweaty,rainy,cloudy,avoid sun,ko-pha-ngan
208,4,may,hot,very warm,sweaty,rainy,cloudy,avoid sun,ko-pha-ngan
209,5,jun,scorching,hot,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
210,6,jul,hot,very warm,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
211,7,aug,hot,very warm,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
212,8,sep,hot,very warm,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
213,9,oct,hot,very warm,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
214,10,nov,hot,very warm,sweaty,rainy,overcast,avoid sun,ko-pha-ngan
215,11,dec,hot,very warm,sweaty,rainy,cloudy,avoid sun,ko-pha-ngan
216,0,jan,mild,mild,nice,rainy,cloudy,okay,da-nang
217,1,feb,warm,warm,nice,dry,pockets,okay,da-nang
218,2,mar,hot,warm,sweaty,rainy,pockets,bad,da-nang
219,3,apr,hot,very warm,sweaty,dry,cloudy,okay,da-nang
220,4,may,scorching,hot,sweaty,rainy,cloudy,okay,da-nang
221,5,jun,scorching,hot,sweaty,rainy,cloudy,clean,da-nang
222,6,jul,scorching,hot,sweaty,rainy,cloudy,clean,da-nang
223,7,aug,scorching,hot,sweaty,rainy,cloudy,clean,da-nang
224,8,sep,hot,very warm,sweaty,rainy,cloudy,clean,da-nang
225,9,oct,hot,very warm,sweaty,rainy,cloudy,okay,da-nang
226,10,nov,hot,warm,sweaty,rainy,cloudy,clean,da-nang
227,11,dec,warm,warm,nice,rainy,cloudy,clean,da-nang
228,0,jan,mild,mild,nice,dry,pockets,okay,mexico-city
229,1,feb,mild,mild,nice,dry,clear,okay,mexico-city
230,2,mar,warm,warm,nice,dry,pockets,okay,mexico-city
231,3,apr,warm,warm,nice,rainy,pockets,okay,mexico-city
232,4,may,warm,warm,nice,rainy,cloudy,okay,mexico-city
233,5,jun,mild,mild,nice,rainy,cloudy,clean,mexico-city
234,6,jul,mild,mild,nice,rainy,cloudy,okay,mexico-city
235,7,aug,mild,mild,nice,rainy,cloudy,okay,mexico-city
236,8,sep,mild,mild,nice,rainy,cloudy,okay,mexico-city
237,9,oct,mild,mild,nice,rainy,cloudy,okay,mexico-city
238,10,nov,mild,mild,nice,dry,pockets,okay,mexico-city
239,11,dec,mild,mild,nice,dry,pockets,okay,mexico-city
240,0,jan,freezing,very cold,damp,dry,cloudy,okay,prague
241,1,feb,cold,very cold,damp,dry,cloudy,okay,prague
242,2,mar,cold,very cold,nice,dry,cloudy,okay,prague
243,3,apr,cold,cold,nice,dry,cloudy,okay,prague
244,4,may,cool,cool,damp,rainy,cloudy,okay,prague
245,5,jun,mild,mild,nice,rainy,cloudy,okay,prague
246,6,jul,mild,mild,nice,rainy,cloudy,okay,prague
247,7,aug,mild,mild,nice,rainy,cloudy,okay,prague
248,8,sep,mild,mild,nice,dry,cloudy,okay,prague
249,9,oct,cool,cool,nice,dry,cloudy,okay,prague
250,10,nov,cold,cold,damp,dry,cloudy,okay,prague
251,11,dec,cold,very cold,damp,dry,cloudy,okay,prague
252,0,jan,mild,mild,nice,dry,pockets,clean,cape-town
253,1,feb,mild,mild,nice,dry,pockets,clean,cape-town
254,2,mar,mild,mild,nice,dry,pockets,clean,cape-town
255,3,apr,mild,mild,nice,dry,pockets,clean,cape-town
256,4,may,cool,cool,nice,rainy,cloudy,clean,cape-town
257,5,jun,cool,cool,nice,rainy,cloudy,clean,cape-town
258,6,jul,cool,cool,nice,rainy,cloudy,clean,cape-town
259,7,aug,cool,cool,damp,rainy,cloudy,clean,cape-town
260,8,sep,cool,cool,nice,dry,cloudy,clean,cape-town
261,9,oct,mild,mild,nice,dry,cloudy,clean,cape-town
262,10,nov,mild,mild,nice,dry,cloudy,clean,cape-town
263,11,dec,mild,mild,nice,dry,cloudy,clean,cape-town
264,0,jan,freezing,freezing,nice,dry,pockets,okay,seoul
265,1,feb,cold,very cold,nice,dry,pockets,bad,seoul
266,2,mar,cool,cool,nice,rainy,cloudy,bad,seoul
267,3,apr,cool,cool,nice,rainy,cloudy,okay,seoul
268,4,may,mild,cool,nice,rainy,cloudy,okay,seoul
269,5,jun,warm,warm,nice,rainy,cloudy,okay,seoul
270,6,jul,hot,very warm,sweaty,rainy,cloudy,okay,seoul
271,7,aug,hot,very warm,sweaty,rainy,cloudy,okay,seoul
272,8,sep,warm,warm,nice,rainy,cloudy,clean,seoul
273,9,oct,cool,cool,nice,dry,cloudy,okay,seoul
274,10,nov,cool,cool,nice,rainy,pockets,okay,seoul
275,11,dec,cold,very cold,nice,dry,pockets,okay,seoul
276,0,jan,hot,very warm,sweaty,rainy,overcast,clean,singapore
277,1,feb,hot,very warm,sweaty,dry,cloudy,okay,singapore
278,2,mar,hot,very warm,sweaty,rainy,cloudy,okay,singapore
279,3,apr,hot,very warm,sweaty,rainy,cloudy,okay,singapore
280,4,may,scorching,hot,sweaty,rainy,cloudy,clean,singapore
281,5,jun,hot,very warm,sweaty,rainy,cloudy,clean,singapore
282,6,jul,hot,very warm,sweaty,rainy,cloudy,okay,singapore
283,7,aug,hot,very warm,sweaty,rainy,cloudy,okay,singapore
284,8,sep,hot,very warm,sweaty,rainy,cloudy,okay,singapore
285,9,oct,hot,very warm,sweaty,rainy,cloudy,okay,singapore
286,10,nov,hot,very warm,sweaty,rainy,cloudy,clean,singapore
287,11,dec,hot,very warm,sweaty,rainy,overcast,clean,singapore
288,0,jan,freezing,very cold,nice,dry,cloudy,clean,toronto
289,1,feb,freezing,freezing,nice,rainy,cloudy,clean,toronto
290,2,mar,cold,very cold,nice,rainy,pockets,clean,toronto
291,3,apr,cold,cool,nice,rainy,cloudy,clean,toronto
292,4,may,cool,cool,nice,dry,pockets,clean,toronto
293,5,jun,mild,mild,nice,rainy,pockets,clean,toronto
294,6,jul,mild,mild,nice,rainy,pockets,clean,toronto
295,7,aug,warm,warm,nice,rainy,pockets,clean,toronto
296,8,sep,mild,mild,nice,rainy,pockets,clean,toronto
297,9,oct,cool,cool,damp,rainy,cloudy,clean,toronto
298,10,nov,cold,cold,nice,dry,cloudy,clean,toronto
299,11,dec,freezing,very cold,damp,rainy,cloudy,clean,toronto
300,0,jan,cold,very cold,damp,rainy,cloudy,clean,timisoara
301,1,feb,cold,cold,damp,dry,cloudy,clean,timisoara
302,2,mar,cold,cold,nice,dry,cloudy,clean,timisoara
303,3,apr,cool,cool,damp,dry,cloudy,clean,timisoara
304,4,may,mild,mild,nice,rainy,cloudy,clean,timisoara
305,5,jun,warm,warm,nice,dry,pockets,clean,timisoara
306,6,jul,hot,very warm,nice,rainy,pockets,clean,timisoara
307,7,aug,warm,very warm,nice,dry,pockets,clean,timisoara
308,8,sep,warm,warm,nice,rainy,pockets,clean,timisoara
309,9,oct,cool,cool,nice,dry,cloudy,clean,timisoara
310,10,nov,cool,cool,damp,rainy,cloudy,clean,timisoara
311,11,dec,cold,very cold,damp,rainy,overcast,clean,timisoara
312,0,jan,freezing,very cold,damp,rainy,overcast,clean,berlin
313,1,feb,freezing,very cold,damp,dry,cloudy,clean,berlin
314,2,mar,cold,cold,damp,dry,cloudy,clean,berlin
315,3,apr,cold,cold,nice,dry,cloudy,clean,berlin
316,4,may,cool,cool,damp,rainy,cloudy,clean,berlin
317,5,jun,warm,warm,nice,rainy,cloudy,clean,berlin
318,6,jul,warm,warm,nice,rainy,cloudy,clean,berlin
319,7,aug,mild,mild,nice,rainy,cloudy,clean,berlin
320,8,sep,mild,mild,nice,dry,cloudy,clean,berlin
321,9,oct,cool,cool,damp,dry,cloudy,clean,berlin
322,10,nov,cold,cold,damp,rainy,cloudy,clean,berlin
323,11,dec,cold,very cold,damp,rainy,overcast,clean,berlin
324,0,jan,freezing,freezing,damp,rainy,cloudy,clean,stockholm
325,1,feb,freezing,freezing,damp,dry,cloudy,clean,stockholm
326,2,mar,cold,very cold,damp,dry,cloudy,clean,stockholm
327,3,apr,cold,cold,nice,dry,cloudy,clean,stockholm
328,4,may,cool,cool,damp,rainy,cloudy,clean,stockholm
329,5,jun,mild,mild,nice,dry,cloudy,clean,stockholm
330,6,jul,mild,mild,nice,dry,pockets,clean,stockholm
331,7,aug,cool,cool,nice,rainy,cloudy,clean,stockholm
332,8,sep,cool,cool,damp,rainy,cloudy,clean,stockholm
333,9,oct,cold,cool,damp,rainy,cloudy,clean,stockholm
334,10,nov,cold,very cold,damp,dry,cloudy,clean,stockholm
335,11,dec,freezing,freezing,damp,dry,cloudy,clean,stockholm
336,0,jan,cool,cool,nice,rainy,pockets,clean,valencia
337,1,feb,cool,cool,damp,dry,cloudy,okay,valencia
338,2,mar,cool,cool,damp,dry,pockets,clean,valencia
339,3,apr,cool,cool,damp,rainy,cloudy,clean,valencia
340,4,may,mild,mild,nice,dry,cloudy,clean,valencia
341,5,jun,warm,warm,nice,dry,pockets,clean,valencia
342,6,jul,warm,warm,sweaty,dry,pockets,okay,valencia
343,7,aug,hot,very warm,sweaty,dry,pockets,okay,valencia
344,8,sep,warm,warm,sweaty,rainy,cloudy,okay,valencia
345,9,oct,mild,mild,nice,dry,cloudy,clean,valencia
346,10,nov,cool,cool,nice,dry,cloudy,clean,valencia
347,11,dec,cool,cool,nice,dry,pockets,clean,valencia
348,0,jan,cold,cold,nice,rainy,cloudy,clean,split
349,1,feb,cool,cool,nice,rainy,cloudy,clean,split
350,2,mar,cool,cool,nice,dry,pockets,clean,split
351,3,apr,cool,cool,nice,rainy,cloudy,clean,split
352,4,may,mild,mild,nice,dry,cloudy,clean,split
353,5,jun,warm,warm,nice,dry,pockets,clean,split
354,6,jul,warm,very warm,nice,dry,pockets,clean,split
355,7,aug,hot,very warm,nice,rainy,pockets,clean,split
356,8,sep,warm,warm,nice,dry,pockets,clean,split
357,9,oct,mild,mild,nice,rainy,pockets,clean,split
358,10,nov,cool,cool,nice,rainy,cloudy,clean,split
359,11,dec,cool,cool,nice,rainy,cloudy,clean,split
360,0,jan,hot,very warm,sweaty,rainy,overcast,clean,kuala-lumpur
361,1,feb,scorching,hot,sweaty,rainy,cloudy,clean,kuala-lumpur
362,2,mar,scorching,hot,sweaty,rainy,cloudy,clean,kuala-lumpur
363,3,apr,scorching,hot,sweaty,rainy,overcast,clean,kuala-lumpur
364,4,may,scorching,hot,sweaty,rainy,cloudy,clean,kuala-lumpur
365,5,jun,scorching,hot,sweaty,rainy,cloudy,clean,kuala-lumpur
366,6,jul,hot,hot,sweaty,rainy,overcast,clean,kuala-lumpur
367,7,aug,hot,hot,sweaty,rainy,overcast,okay,kuala-lumpur
368,8,sep,scorching,hot,sweaty,rainy,cloudy,okay,kuala-lumpur
369,9,oct,scorching,hot,sweaty,rainy,overcast,okay,kuala-lumpur
370,10,nov,hot,very warm,sweaty,rainy,overcast,okay,kuala-lumpur
371,11,dec,scorching,hot,sweaty,rainy,overcast,okay,kuala-lumpur
372,0,jan,warm,warm,sweaty,rainy,cloudy,bad,sao-paulo
373,1,feb,warm,warm,sweaty,rainy,cloudy,bad,sao-paulo
374,2,mar,hot,very warm,sweaty,rainy,cloudy,bad,sao-paulo
375,3,apr,mild,mild,nice,dry,cloudy,bad,sao-paulo
376,4,may,mild,mild,nice,dry,cloudy,bad,sao-paulo
377,5,jun,mild,mild,nice,dry,cloudy,bad,sao-paulo
378,6,jul,mild,mild,nice,dry,pockets,okay,sao-paulo
379,7,aug,mild,mild,nice,dry,cloudy,okay,sao-paulo
380,8,sep,warm,warm,nice,dry,cloudy,okay,sao-paulo
381,9,oct,mild,mild,nice,rainy,overcast,bad,sao-paulo
382,10,nov,warm,warm,nice,rainy,cloudy,bad,sao-paulo
383,11,dec,warm,warm,nice,rainy,cloudy,bad,sao-paulo
384,0,jan,hot,very warm,sweaty,rainy,overcast,avoid sun,canggu
385,1,feb,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
386,2,mar,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
387,3,apr,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
388,4,may,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
389,5,jun,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
390,6,jul,hot,very warm,sweaty,dry,cloudy,avoid sun,canggu
391,7,aug,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
392,8,sep,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
393,9,oct,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
394,10,nov,hot,very warm,sweaty,rainy,overcast,avoid sun,canggu
395,11,dec,hot,very warm,sweaty,rainy,cloudy,avoid sun,canggu
396,0,jan,freezing,very cold,damp,rainy,cloudy,safe,krakow
397,1,feb,freezing,very cold,damp,rainy,cloudy,safe,krakow
398,2,mar,cold,very cold,nice,dry,cloudy,safe,krakow
399,3,apr,cold,cold,damp,rainy,cloudy,seek shade,krakow
400,4,may,cool,cool,damp,rainy,cloudy,seek shade,krakow
401,5,jun,mild,mild,nice,dry,cloudy,avoid sun,krakow
402,6,jul,warm,warm,nice,rainy,cloudy,seek shade,krakow
403,7,aug,mild,mild,nice,rainy,cloudy,seek shade,krakow
404,8,sep,cool,cool,nice,rainy,cloudy,seek shade,krakow
405,9,oct,cool,cool,nice,dry,cloudy,safe,krakow
406,10,nov,cold,cold,damp,dry,cloudy,safe,krakow
407,11,dec,freezing,very cold,damp,dry,overcast,safe,krakow
408,0,jan,warm,warm,nice,dry,pockets,bad,bengaluru
409,1,feb,warm,warm,nice,dry,pockets,bad,bengaluru
410,2,mar,warm,very warm,nice,dry,pockets,bad,bengaluru
411,3,apr,hot,hot,nice,dry,cloudy,bad,bengaluru
412,4,may,hot,very warm,nice,rainy,cloudy,bad,bengaluru
413,5,jun,hot,very warm,sweaty,rainy,overcast,bad,bengaluru
414,6,jul,warm,warm,nice,rainy,overcast,okay,bengaluru
415,7,aug,warm,warm,nice,rainy,overcast,okay,bengaluru
416,8,sep,warm,warm,nice,rainy,overcast,okay,bengaluru
417,9,oct,warm,warm,nice,rainy,overcast,okay,bengaluru
